# ZTool localization table: <escaped zh>\t<escaped ru>
# Rows with an empty RU column are left untouched. Edit RU values only.
\t统计数量	\tКоличество
\\Шаблоны спецификации\\bom模板.xlsx	\\Шаблоны спецификации\\bom_шаблон.xlsx
bom数据（*txt）|*.txt	Данные спецификации (*.txt)|*.txt
oShellLink.Description ="SolidWorks高效辅助工具" 	oShellLink.Description ="Эффективный помощник для SolidWorks" 
pdf文件（*.pdf）|*.pdf	Файлы PDF (*.pdf)|*.pdf
solidworks宏文件（*.swb;*.swp）|*.swb;*.swp	Файл макроса SolidWorks (*.swb;*.swp)|*.swb;*.swp
Описание:\r\n{ } — начальное значение инкремента;\r\n$属性名称$ — значение свойства\r\n%属性名称% — выражение свойства\r\n<列标题> — значение из другого столбца\r\n	Описание:\r\n{ } — начальное значение инкремента;\r\n$ИмяСвойства$ — значение свойства\r\n%ИмяСвойства% — выражение свойства\r\n<ЗаголовокСтолбца> — значение из другого столбца\r\n
Описание:\r\n{ } — начальное значение порядкового номера;\r\n$列标题$ — вычисленное значение столбца свойства\r\n%列标题% — выражение столбца свойства\r\n<列标题> — значение из другого столбца\r\n	Описание:\r\n{ } — начальное значение порядкового номера;\r\n$ЗаголовокСтолбца$ — вычисленное значение столбца свойства\r\n%ЗаголовокСтолбца% — выражение столбца свойства\r\n<ЗаголовокСтолбца> — значение из другого столбца\r\n
下一步	Далее
下横线 "_"	Подчёркивание "_"
下载失败：	Ошибка загрузки: 
下载完毕！是否立即安装更新？\n注：安装前会关闭主程序和SolidWorks进程，请注意保存数据！	Загрузка завершена! Установить обновление сейчас?\nВнимание: перед установкой будут закрыты основная программа и процессы SolidWorks, сохраните данные!
下载更新	Загрузить обновление
不包含	Не содержит
不包括在材料明细表中（&E）	Исключить из спецификации (&E)
不支持Win32s.	Win32s не поддерживается.
不支持Win9x.	Win9x не поддерживается.
不支持WinCE.	WinCE не поддерживается.
不知道的操作系统.	Неизвестная операционная система.
不等于	Не равно
个文件，勾选了	 файлов, отмечено 
中文字符	Китайские символы
二维码	
仅输出激活的图纸	Выводить только активный лист
仅输出第一页	Выводить только первую страницу
仅限于AutoCAD标准	Только для стандарта AutoCAD
从第10位开始向后取10位	С 10-й позиции взять 10 символов
从第10位开始向后取至结尾	С 10-й позиции взять до конца
从第10位开始向后最少取10位，最大取20位	С 10-й позиции взять минимум 10, максимум 20 символов
保存到SW	Сохранить в SW
保存到SW过程出错：\n	Ошибка при сохранении в SW:\n
保存完毕，耗时	Сохранение завершено, затрачено
修改ToolStripMenuItem	
停止	Стоп
停止任务	Остановить задачу
兆牛顿	меганьютон
克	грамм
公斤	килограмм
共	Всего
共 	Всего 
其它            	Прочее            
其它位置	Другое расположение
准备读取SW数据时出错：\n	Ошибка при подготовке к чтению данных SW:\n
分	минута
分升	децилитр
分号 ";"	Точка с запятой ";"
列表ToolStripMenuItem	
列表ToolStripMenuItem1	
创建工程图	Создать чертёж
创建工程图出错：\n	Ошибка при создании чертежа:\n
创建工程图（支持多选）	Создать чертёж (множественный выбор)
创建快捷方式失败：\r\n	Не удалось создать ярлык:\r\n
初始化	Инициализация
删除工程图（支持多选）	Удалить чертёж (множественный выбор)
删除材质	Удалить материал
剩余	Осталось
加载完成,耗时 	Загрузка завершена, затрачено 
加载数据出错：\n	Ошибка при загрузке данных:\n
包含	Содержит
包含在材料明细表中（&I）	Включить в спецификацию (&I)
匹配 	Совпадений 
千克-力	килограмм-сила
千分英寸	тысячная дюйма
千分英寸^3	тысячная дюйма³
千牛顿	килоньютон
千瓦	киловатт
千瓦-小时	киловатт-час
升	литр
华文行楷	
压缩零部件（&S）	Погасить компоненты (&S)
厘升	сантилитр
厘米	сантиметр
厘米^3	сантиметр³
原位置（新建属性在自定义）	Исходное расположение (новое свойство в «Настраиваемые»)
原位置（新建属性在配置）	Исходное расположение (новое свойство в «Конфигурация»)
原配置名	Старое имя конфигурации
参考文件	Ссылочный файл
参考路径 	Ссылочный путь 
发布日期：	Дата выпуска: 
取()内字符	Извлечь символы в ()
取_或空格到结尾	От _ или пробела до конца
取中文字符	Извлечь китайские символы
取前10位	Первые 10 символов
取后10位	Последние 10 символов
取开头到_|(（[【空格或结尾之间的字符	От начала до _ | ( （ [ 【, пробела или конца
取类似V1.1的字符	Извлечь подстроку вида V1.1
取结尾处类似V1.1的字符	Извлечь в конце подстроку вида V1.1
右上角	Верхний правый угол
右下角	Нижний правый угол
合并PDF-	Объединение PDF-
名称	Название
名称已存在，序号：	Имя уже существует, номер: 
否	Нет
图号	Обозначение
图号\n0	Обозначение\n0
图片文件	Изображение
图片文件（*.bmp;*.jpg;*.png）|*.bmp;*.jpg;*.png	Изображения (*.bmp;*.jpg;*.png)|*.bmp;*.jpg;*.png
在 	В 
在solidworks中打开ToolStripMenuItem	
在文件夹中打开ToolStripMenuItem	
在文件夹中显示 (&F）	Показать в папке (&F)
埃	ангстрем
埃^3	ангстрем³
备份-	Резервная копия-
备份完成，耗时	Резервное копирование завершено, затрачено
备份已取消	Резервное копирование отменено
备注	Примечание
复制工程图	Копировать чертёж
复制工程图出错：\n	Ошибка при копировании чертежа:\n
安装更新	Установить обновление
密耳	мил
密耳^3	мил³
导出BOM出错：\n	Ошибка при экспорте спецификации:\n
导出到txt出错：\n	Ошибка при экспорте в txt:\n
导出汇总BOM	Экспорт сводной спецификации
导出缩进式BOM	Экспорт иерархической спецификации
导出零件汇总BOM	Экспорт сводной спецификации деталей
导出顶层BOM	Экспорт спецификации верхнего уровня
小图标ToolStripMenuItem	
尔格	эрг
层级\tpathname\tcfgname\tExcludeFromBOM\tIsEnvelope\tIsVirtual\tSelectName	Уровень\tpathname\tcfgname\tExcludeFromBOM\tIsEnvelope\tIsVirtual\tSelectName
属性模板(*.prtprp;*.asmprp)|*.prtprp;*.asmprp	Шаблон свойств (*.prtprp;*.asmprp)|*.prtprp;*.asmprp
属性表达式/评估的值	Выражение свойства / вычисленное значение
工具箱.png	
工程图(*.SLDDRW)|*.SLDDRW	Чертёж (*.SLDDRW)|*.SLDDRW
工程图(*.SLDDRW)|*.SLDDRW|零件(*.SLDPRT)|*.SLDPRT|装配体(*.SLDASM)|*.SLDASM|SOLIDWORKS文件(*.SLDPRT;*.SLDASM;*.SLDDRW)|*.SLDPRT;*.SLDASM;*.SLDDRW	Чертёж (*.SLDDRW)|*.SLDDRW|Деталь (*.SLDPRT)|*.SLDPRT|Сборка (*.SLDASM)|*.SLDASM|Файлы SOLIDWORKS (*.SLDPRT;*.SLDASM;*.SLDDRW)|*.SLDPRT;*.SLDASM;*.SLDDRW
左上角	Верхний левый угол
左下角	Нижний левый угол
已成功复制 	Успешно скопировано 
已选择 	Выбрано 
平铺ToolStripMenuItem	
序号 	Номер 
度	градус
度/分	градус/минута
度/分秒	градус/минута/секунда
开头不是	Не начинается с
开头是	Начинается с
开始	Старт
弧度	радиан
当前SolidWorks版本调用失败！	Не удалось обратиться к текущей версии SolidWorks!
当前共	Всего сейчас
当前日期	Текущая дата
当前模型已经存在工程图！	Для текущей модели чертёж уже существует!
当前配置	Текущая конфигурация
微升	микролитр
微秒	микросекунда
微米	микрометр
微米^3	микрометр³
恢复为材质颜色	Восстановить цвет материала
所有文件（*.*）|*.*	Все файлы (*.*)|*.*
所有配置	Все конфигурации
才能启用	 для активации
打印日期：	Дата печати: 
打印首选项(&E)...	Параметры печати (&E)...
打开工程图 (&D）	Открыть чертёж (&D)
打开帮助文件出错：\n	Ошибка при открытии файла справки:\n
打开装配体 (&W）	Открыть сборку (&W)
打开零件 (&W）	Открыть деталь (&W)
执行宏（支持多选）	Выполнить макрос (множественный выбор)
批量复制 (&C）	Пакетное копирование (&C)
批量粘贴 (&V）	Пакетная вставка (&V)
拆分 	Разделить 
按颜色筛选	Фильтр по цвету
换行符	Перенос строки
提示	Сообщение
操作	Действие
数字	Число
文件(*.*|*.*	Файлы (*.*)|*.*
文件名	Имя файла
文件名重复	Имя файла повторяется
文件类型	Тип файла
文字	Текст
文本	Текст
文本文件（*txt）|*.txt	Текстовый файл (*.txt)|*.txt
文档名称	Имя документа
斜线"\\"	Косая черта "\\"
新配置名	Новое имя конфигурации
无	Нет
无可以模板	Нет доступного шаблона
日期	Дата
时	час
时间	Время
是	Да
是否立即安装更新？\n注：安装前会关闭主程序和SolidWorks进程，请注意保存！	Установить обновление сейчас?\nВнимание: перед установкой будут закрыты основная программа и процессы SolidWorks, сохраните данные!
是或否	Да или нет
显示/隐藏缩略图	Показать/скрыть эскизы
替换为	Заменить на
有	Есть
有 	Есть 
有无工程图	Наличие чертежа
未找到字符"	Символ не найден "
材料	Материал
材质数据库文件（*.sldmat）|*.sldmat	Файл базы материалов (*.sldmat)|*.sldmat
标签	Метка
标记相关节点（支持多选）	Отметить связанные узлы (множественный выбор)
毫克	миллиграмм
毫升	миллилитр
毫牛顿	миллиньютон
毫秒	миллисекунда
毫米	миллиметр
毫米^3	миллиметр³
没找到工程图模板！	Шаблон чертежа не найден!
没有找到更新包！	Пакет обновления не найден!
波浪线 "~"	Тильда "~"
添加材质库...	Добавить базу материалов...
清除	Очистить
清除内容	Очистить содержимое
清除筛选	Сбросить фильтр
清除颜色	Сбросить цвет
激活并保存此零部件（支持多选）	Активировать и сохранить компонент (множественный выбор)
灰度级	Оттенки серого
点 "."	Точка "."
焦耳	джоуль
版 本 :{0}	Версия :{0}
版本	Версия
版本\n2	Версия\n2
牛顿	ньютон
状态	Статус
瓦	ватт
用户指定的名称	Имя, заданное пользователем
盎司-力	унция-сила
短横线 "-"	Дефис "-"
磅	фунт
磅-力	фунт-сила
秒	секунда
秒，共	сек, всего
空格	Пробел
空格或下横线	Пробел или подчёркивание
等于	Равно
筛选	Фильтр
筛选（反向）	Фильтр (инверсия)
米	метр
米^3	метр³
类型	Тип
粘贴工程图	Вставить чертёж
纳秒	наносекунда
纳米	нанометр
纳米^3	нанометр³
结尾不是	Не заканчивается на
结尾是	Заканчивается на
绘图标准文件"	Файл стандарта оформления "
绘图标准文件（*.sldstd）|*.sldstd	Файл стандарта оформления (*.sldstd)|*.sldstd
自定义和所有配置	Настраиваемые и все конфигурации
自定义属性	Настраиваемые свойства
自定义菜单...	Настроить меню...
英寸	дюйм
英寸^3	дюйм³
英尺	фут
英尺^3	фут³
英尺和英寸	футы и дюймы
行	Строка
表格列	Столбец таблицы
表面处理	Обработка поверхности
装配体(*.SLDASM)|*.SLDASM	Сборка (*.SLDASM)|*.SLDASM
解除压缩（&U）	Высветить (&U)
设定颜色	Задать цвет
设置的SolidWorks版本不正确，请重新设置	Указана неверная версия SolidWorks, задайте её заново
设计	Разработал
设计日期	Дата разработки
试用中...剩余	Пробный период... осталось
试用时间到！软件将在10秒后自动关闭！	Пробный период истёк! Программа закроется через 10 секунд!
说明	Описание
请输入8-20位包含大小写字母和数字的密码	Введите пароль (8-20 символов)
读取SW数据出错：\n	Ошибка при чтении данных SW:\n
路径 "	Путь "
路径格式不合法	Недопустимый формат пути
跳过只读项	Пропускать элементы «только чтение»
跳过未修改的项	Пропускать неизменённые элементы
跳过没有失败的项	Пропускать элементы без ошибок
跳过被筛选的项	Пропускать отфильтрованные элементы
输入方案名称	Введите имя схемы
输入规则名称	Введите имя правила
输出所有图纸到一个文件	Вывести все листы в один файл
输出所有图纸到单个文件	Вывести каждый лист в отдельный файл
达因	дина
过滤规则	Правило фильтрации
连接上次文档	Подключить предыдущий документ
连接完成，耗时 	Подключение завершено, затрачено 
连接当前文档	Подключить текущий документ
选择可用材质库...	Выбрать доступную базу материалов...
配置名称	Имя конфигурации
配置文件(*.settings)|*.settings	Файл настроек (*.settings)|*.settings
配置文件（*settings）|*.settings	Файл настроек (*.settings)|*.settings
重新获取数据？	Получить данные заново?
重置颜色	Сбросить цвет
重量	Масса
链接到父配置	Связать с родительской конфигурацией
随机颜色	Случайный цвет
隐藏行（支持多选） (&H）	Скрыть строки (множественный выбор) (&H)
零件	Деталь
零件(*.SLDPRT)|*.SLDPRT|装配体(*.SLDASM)|*.SLDASM	Деталь (*.SLDPRT)|*.SLDPRT|Сборка (*.SLDASM)|*.SLDASM
零件(*.SLDPRT)|*.SLDPRT|装配体(*.SLDASM)|*.SLDASM|SOLIDWORKS文件(*.SLDPRT;*.SLDASM)|*.SLDPRT;*.SLDASM	Деталь (*.SLDPRT)|*.SLDPRT|Сборка (*.SLDASM)|*.SLDASM|Файлы SOLIDWORKS (*.SLDPRT;*.SLDASM)|*.SLDPRT;*.SLDASM
零件名称	Наименование
零件名称\n1	Наименование\n1
零件配置	Конфигурация детали
需先打开	Сначала откройте
马力	лошадиная сила
黑白（双层）	Чёрно-белый (двухуровневый)
默认	По умолчанию
默认导出汇总BOM	Экспорт сводной спецификации по умолчанию
（x64） 注册\u001E\u001C	(x64) Регистрация\u001E\u001C
（x86） 注册\u001E\u001C	(x86) Регистрация\u001E\u001C
SolidWorks高效辅助工具	вспомогательный инструмент для SolidWorks
适用于Solidworks2012及以上版本	Подходит для SolidWorks 2012 и выше
（x64）	(x64)
（x86）	(x86)
# exception dialog text (added: complete exe russification)
异常类型：{0}\r\n异常消息：{1}\r\n异常信息：{2}\r\n	Тип исключения: {0}\r\nСообщение: {1}\r\nИнформация: {2}\r\n
Application UnhandledException:{0};\n\r堆栈信息:{1}	Application UnhandledException:{0};\n\rСтек:{1}
异常类型：{0}\r\n异常消息：{1}\r\n异常信息：{2}	Тип исключения: {0}\r\nСообщение: {1}\r\nИнформация: {2}
异常类型：	Тип исключения: 
\r\n异常消息：	\r\nСообщение: 
\r\n异常信息：	\r\nИнформация: 
Подсчитанное количество	Количество
